episode,vanilla,mean_baseline,critic,rloo
770,442.0,500.0,500.0,137.0
771,333.0,500.0,500.0,165.0
772,500.0,500.0,500.0,148.0
773,500.0,500.0,500.0,182.0
774,500.0,500.0,500.0,237.0
775,500.0,500.0,500.0,189.0
776,500.0,500.0,500.0,156.0
777,500.0,500.0,500.0,201.0
778,457.0,500.0,500.0,186.0
779,500.0,500.0,500.0,251.0
780,500.0,500.0,500.0,334.0
781,500.0,500.0,500.0,275.0
782,365.0,500.0,500.0,348.0
783,500.0,500.0,500.0,266.0
784,500.0,500.0,500.0,337.0
785,500.0,500.0,500.0,360.0
786,500.0,500.0,500.0,498.0
787,449.0,500.0,500.0,487.0
788,500.0,500.0,500.0,500.0
789,380.0,500.0,500.0,500.0
790,500.0,500.0,500.0,500.0
791,500.0,500.0,500.0,500.0
792,500.0,500.0,500.0,500.0
793,500.0,500.0,500.0,500.0
794,245.0,500.0,500.0,500.0
795,298.0,276.0,500.0,500.0
796,331.0,500.0,500.0,364.0
797,500.0,500.0,500.0,500.0
798,373.0,500.0,500.0,500.0
799,477.0,283.0,500.0,500.0
800,292.0,500.0,500.0,378.0
801,423.0,500.0,500.0,500.0
802,500.0,500.0,500.0,218.0
803,500.0,500.0,500.0,500.0
804,500.0,500.0,500.0,500.0
805,500.0,500.0,500.0,374.0
806,500.0,500.0,500.0,500.0
807,500.0,500.0,500.0,500.0
808,500.0,500.0,500.0,500.0
809,354.0,500.0,500.0,500.0
810,306.0,500.0,500.0,500.0
811,500.0,500.0,500.0,500.0
812,500.0,500.0,500.0,500.0
813,500.0,500.0,500.0,500.0
814,500.0,500.0,500.0,500.0
815,500.0,500.0,500.0,500.0
816,500.0,500.0,500.0,500.0
817,234.0,500.0,500.0,500.0
818,500.0,500.0,500.0,500.0
819,500.0,500.0,500.0,500.0
820,500.0,500.0,500.0,358.0
821,500.0,500.0,500.0,500.0
822,500.0,500.0,500.0,500.0
823,500.0,500.0,500.0,500.0
824,500.0,500.0,500.0,500.0
825,500.0,500.0,500.0,500.0
826,500.0,500.0,500.0,500.0
827,500.0,500.0,500.0,500.0
828,500.0,500.0,500.0,500.0
829,500.0,500.0,500.0,500.0
830,500.0,500.0,500.0,500.0
831,500.0,500.0,500.0,500.0
832,500.0,500.0,500.0,316.0
833,500.0,500.0,500.0,500.0
834,500.0,500.0,500.0,500.0
835,500.0,500.0,500.0,500.0
836,500.0,500.0,500.0,500.0
837,500.0,500.0,500.0,500.0
838,500.0,500.0,500.0,500.0
839,500.0,500.0,500.0,500.0
840,500.0,500.0,500.0,500.0
841,500.0,500.0,500.0,500.0
842,500.0,500.0,500.0,500.0
843,500.0,500.0,500.0,243.0
844,382.0,500.0,500.0,500.0
845,500.0,500.0,500.0,500.0
846,436.0,500.0,500.0,500.0
847,500.0,500.0,500.0,500.0
848,119.0,500.0,500.0,427.0
849,500.0,500.0,500.0,403.0
850,404.0,500.0,228.0,489.0
851,451.0,500.0,500.0,500.0
852,500.0,500.0,447.0,500.0
853,375.0,500.0,500.0,500.0
854,500.0,500.0,500.0,500.0
855,500.0,500.0,500.0,500.0
856,500.0,500.0,500.0,500.0
857,500.0,500.0,500.0,500.0
858,500.0,500.0,351.0,500.0
859,500.0,500.0,500.0,500.0
860,500.0,500.0,500.0,500.0
861,500.0,500.0,500.0,500.0
862,299.0,500.0,500.0,500.0
863,245.0,500.0,500.0,500.0
864,500.0,500.0,500.0,500.0
865,500.0,500.0,500.0,500.0
866,500.0,500.0,500.0,500.0
867,500.0,500.0,500.0,500.0
868,500.0,500.0,500.0,500.0
869,500.0,500.0,500.0,500.0
870,500.0,500.0,500.0,500.0
871,236.0,500.0,500.0,500.0
872,500.0,500.0,475.0,500.0
873,500.0,500.0,500.0,500.0
874,500.0,500.0,500.0,500.0
875,500.0,500.0,500.0,500.0
876,500.0,500.0,500.0,238.0
877,500.0,500.0,500.0,500.0
878,500.0,500.0,500.0,500.0
879,500.0,500.0,500.0,500.0
880,500.0,500.0,500.0,284.0
881,500.0,500.0,500.0,500.0
882,500.0,500.0,500.0,500.0
883,500.0,500.0,500.0,328.0
884,500.0,500.0,500.0,369.0
885,500.0,500.0,500.0,500.0
886,500.0,500.0,500.0,500.0
887,500.0,500.0,500.0,500.0
888,239.0,500.0,500.0,500.0
889,500.0,152.0,500.0,500.0
890,500.0,500.0,500.0,500.0
891,500.0,500.0,500.0,500.0
892,500.0,500.0,500.0,500.0
893,500.0,500.0,500.0,500.0
894,500.0,500.0,500.0,500.0
895,500.0,500.0,500.0,500.0
896,500.0,500.0,500.0,500.0
897,500.0,437.0,500.0,500.0
898,377.0,500.0,500.0,500.0
899,409.0,500.0,500.0,500.0
900,241.0,500.0,500.0,500.0
901,500.0,500.0,500.0,500.0
902,500.0,500.0,500.0,367.0
903,500.0,500.0,500.0,500.0
904,500.0,500.0,500.0,440.0
905,500.0,500.0,500.0,356.0
906,500.0,500.0,500.0,487.0
907,500.0,500.0,500.0,334.0
908,500.0,500.0,500.0,270.0
909,500.0,500.0,500.0,290.0
910,500.0,500.0,500.0,280.0
911,500.0,500.0,500.0,370.0
912,500.0,500.0,500.0,289.0
913,500.0,500.0,500.0,237.0
914,186.0,500.0,500.0,500.0
915,500.0,500.0,500.0,500.0
916,500.0,500.0,500.0,119.0
917,500.0,500.0,500.0,384.0
918,500.0,500.0,500.0,200.0
919,500.0,500.0,500.0,500.0
920,500.0,500.0,500.0,500.0
921,500.0,500.0,500.0,500.0
922,500.0,500.0,500.0,500.0
923,500.0,500.0,500.0,446.0
924,500.0,500.0,500.0,500.0
925,498.0,500.0,500.0,500.0
926,500.0,500.0,500.0,500.0
927,500.0,500.0,500.0,500.0
928,500.0,500.0,500.0,500.0
929,500.0,500.0,500.0,289.0
930,445.0,500.0,500.0,443.0
931,493.0,500.0,500.0,303.0
932,500.0,500.0,500.0,468.0
933,500.0,450.0,500.0,161.0
934,412.0,500.0,500.0,500.0
935,449.0,500.0,500.0,500.0
936,497.0,500.0,500.0,500.0
937,500.0,500.0,500.0,151.0
938,500.0,500.0,500.0,500.0
939,351.0,500.0,500.0,500.0
940,500.0,500.0,500.0,318.0
941,378.0,500.0,500.0,500.0
942,305.0,500.0,500.0,500.0
943,382.0,500.0,500.0,500.0
944,285.0,500.0,500.0,500.0
945,431.0,500.0,500.0,316.0
946,500.0,500.0,500.0,201.0
947,500.0,500.0,500.0,111.0
948,410.0,500.0,500.0,141.0
949,173.0,500.0,500.0,110.0
950,500.0,500.0,500.0,356.0
951,402.0,500.0,500.0,500.0
952,500.0,500.0,500.0,154.0
953,500.0,500.0,500.0,500.0
954,500.0,500.0,500.0,495.0
955,500.0,500.0,500.0,165.0
956,500.0,500.0,500.0,454.0
957,500.0,500.0,500.0,500.0
958,500.0,500.0,500.0,134.0
959,500.0,500.0,500.0,120.0
960,500.0,500.0,500.0,500.0
961,500.0,500.0,500.0,384.0
962,500.0,500.0,500.0,112.0
963,500.0,500.0,500.0,280.0
964,500.0,500.0,500.0,153.0
965,500.0,500.0,500.0,112.0
966,500.0,500.0,500.0,135.0
967,327.0,500.0,500.0,139.0
968,500.0,500.0,500.0,119.0
969,332.0,500.0,500.0,113.0
970,500.0,500.0,500.0,110.0
971,491.0,500.0,500.0,133.0
972,500.0,500.0,500.0,44.0
973,409.0,500.0,500.0,138.0
974,500.0,500.0,500.0,130.0
975,500.0,500.0,500.0,299.0
976,500.0,500.0,500.0,268.0
977,500.0,500.0,500.0,500.0
978,175.0,500.0,500.0,332.0
979,500.0,500.0,500.0,500.0
980,500.0,500.0,500.0,133.0
981,500.0,500.0,500.0,131.0
982,386.0,500.0,500.0,261.0
983,500.0,500.0,500.0,287.0
984,430.0,500.0,500.0,132.0
985,500.0,500.0,500.0,500.0
986,500.0,500.0,500.0,500.0
987,500.0,500.0,500.0,500.0
988,163.0,500.0,500.0,500.0
989,500.0,500.0,500.0,500.0
990,500.0,500.0,500.0,500.0
991,500.0,500.0,500.0,125.0
992,500.0,500.0,500.0,500.0
993,500.0,500.0,500.0,500.0
994,500.0,500.0,500.0,303.0
995,500.0,500.0,500.0,272.0
996,500.0,500.0,500.0,123.0
997,500.0,500.0,500.0,275.0
998,500.0,500.0,500.0,210.0
999,500.0,500.0,500.0,236.0
